name,primary_muscle,secondary_muscles,equipment,category,level
Kettlebell Figure 8,abdominals,"hamstrings, shoulders",kettlebells,strength,intermediate
Kettlebell Hang Clean,hamstrings,"calves, glutes, lower back, shoulders, traps",kettlebells,strength,intermediate
Kettlebell One-Legged Deadlift,hamstrings,"glutes, lower back",kettlebells,strength,intermediate
Kettlebell Pass Between The Legs,abdominals,"glutes, hamstrings, shoulders",kettlebells,strength,intermediate
Kettlebell Pirate Ships,shoulders,abdominals,kettlebells,strength,beginner
Kettlebell Pistol Squat,quadriceps,"calves, glutes, hamstrings, shoulders",kettlebells,strength,expert
Kettlebell Seated Press,shoulders,triceps,kettlebells,strength,intermediate
Kettlebell Seesaw Press,shoulders,triceps,kettlebells,strength,intermediate
Kettlebell Sumo High Pull,traps,"adductors, glutes, hamstrings, quadriceps, shoulders",kettlebells,strength,intermediate
Kettlebell Thruster,shoulders,"quadriceps, triceps",kettlebells,strength,intermediate
Kettlebell Turkish Get-Up (Lunge style),shoulders,"abdominals, hamstrings, quadriceps, triceps",kettlebells,strength,intermediate
Kettlebell Turkish Get-Up (Squat style),shoulders,"abdominals, calves, hamstrings, quadriceps, triceps",kettlebells,strength,intermediate
Kettlebell Windmill,abdominals,"glutes, hamstrings, shoulders, triceps",kettlebells,strength,intermediate
Kipping Muscle Up,lats,"abdominals, biceps, forearms, middle back, shoulders, traps, triceps",other,strength,intermediate
Knee Across The Body,glutes,"abductors, lower back",,stretching,beginner
Knee Circles,calves,"hamstrings, quadriceps",body only,stretching,beginner
Knee/Hip Raise On Parallel Bars,abdominals,,other,strength,beginner
Knee Tuck Jump,hamstrings,"abductors, adductors, calves, glutes, quadriceps",body only,plyometrics,beginner
Kneeling Arm Drill,shoulders,abdominals,,plyometrics,beginner
Kneeling Cable Crunch With Alternating Oblique Twists,abdominals,,cable,strength,beginner
Kneeling Cable Triceps Extension,triceps,,cable,strength,intermediate
Kneeling Forearm Stretch,forearms,,,stretching,beginner
Kneeling High Pulley Row,lats,"biceps, middle back",cable,strength,beginner
Kneeling Hip Flexor,quadriceps,quadriceps,,stretching,beginner
Kneeling Jump Squat,glutes,"calves, hamstrings, quadriceps",barbell,olympic weightlifting,expert
Kneeling Single-Arm High Pulley Row,lats,"biceps, middle back",cable,strength,beginner
Kneeling Squat,glutes,"abdominals, hamstrings, lower back",barbell,powerlifting,intermediate
Landmine 180's,abdominals,"glutes, lower back, shoulders",barbell,strength,beginner
Landmine Linear Jammer,shoulders,"abdominals, calves, chest, hamstrings, quadriceps, triceps",barbell,strength,intermediate
Lateral Bound,adductors,"abductors, calves, glutes, hamstrings, quadriceps",body only,plyometrics,beginner
Lateral Box Jump,adductors,"abductors, calves, glutes, hamstrings, quadriceps",other,plyometrics,beginner
Lateral Cone Hops,adductors,"abductors, calves, glutes, hamstrings, quadriceps",other,plyometrics,beginner
Lateral Raise - With Bands,shoulders,,bands,strength,beginner
Latissimus Dorsi-SMR,lats,,foam roll,stretching,beginner
Leg-Over Floor Press,chest,"shoulders, triceps",kettlebells,strength,intermediate
Leg-Up Hamstring Stretch,hamstrings,,,stretching,beginner
Leg Extensions,quadriceps,,machine,strength,beginner
Leg Lift,glutes,hamstrings,body only,strength,beginner
Leg Press,quadriceps,"calves, glutes, hamstrings",machine,strength,beginner
Leg Pull-In,abdominals,,body only,strength,beginner
Leverage Chest Press,chest,"shoulders, triceps",machine,strength,beginner
Leverage Deadlift,quadriceps,"glutes, hamstrings",machine,strength,beginner
Leverage Decline Chest Press,chest,"shoulders, triceps",machine,strength,beginner
Leverage High Row,middle back,lats,machine,strength,beginner
Leverage Incline Chest Press,chest,"shoulders, triceps",machine,strength,beginner
Leverage Iso Row,lats,"biceps, middle back",machine,strength,beginner
Leverage Shoulder Press,shoulders,triceps,machine,strength,beginner
Leverage Shrug,traps,forearms,machine,strength,beginner
Linear 3-Part Start Technique,hamstrings,"calves, quadriceps",,plyometrics,beginner
Linear Acceleration Wall Drill,hamstrings,"calves, glutes, quadriceps",,plyometrics,beginner
Linear Depth Jump,quadriceps,"calves, glutes, hamstrings",other,plyometrics,intermediate
Log Lift,shoulders,"abdominals, chest, glutes, hamstrings, lower back, middle back, quadriceps, traps, triceps",other,strongman,intermediate
London Bridges,lats,"biceps, forearms, middle back",other,strength,intermediate
Looking At Ceiling,quadriceps,,,stretching,beginner
Low Cable Crossover,chest,shoulders,cable,strength,beginner
Low Cable Triceps Extension,triceps,,cable,strength,beginner
Low Pulley Row To Neck,shoulders,"biceps, middle back, traps",cable,strength,beginner
Lower Back-SMR,lower back,,foam roll,stretching,beginner
Lower Back Curl,abdominals,,body only,stretching,beginner
Lunge Pass Through,hamstrings,"calves, glutes, quadriceps",kettlebells,strength,intermediate
Lunge Sprint,quadriceps,"calves, glutes, hamstrings",machine,strength,intermediate
Lying Bent Leg Groin,adductors,,other,stretching,expert
Lying Cable Curl,biceps,,cable,strength,intermediate
Lying Cambered Barbell Row,middle back,"biceps, lats, traps",barbell,strength,beginner
Lying Close-Grip Bar Curl On High Pulley,biceps,,cable,strength,beginner
Lying Close-Grip Barbell Triceps Extension Behind The Head,triceps,,barbell,strength,intermediate
Lying Close-Grip Barbell Triceps Press To Chin,triceps,,e-z curl bar,strength,intermediate
Lying Crossover,abductors,,body only,stretching,expert
Lying Dumbbell Tricep Extension,triceps,"chest, shoulders",dumbbell,strength,intermediate
Lying Face Down Plate Neck Resistance,neck,,other,strength,intermediate
Lying Face Up Plate Neck Resistance,neck,,other,strength,intermediate
Lying Glute,glutes,abductors,body only,stretching,expert
Lying Hamstring,hamstrings,calves,other,stretching,expert
Lying High Bench Barbell Curl,biceps,,barbell,strength,intermediate
Lying Leg Curls,hamstrings,,machine,strength,beginner
Lying Machine Squat,quadriceps,"calves, glutes, hamstrings",machine,strength,intermediate
Lying One-Arm Lateral Raise,shoulders,,dumbbell,strength,intermediate
Lying Prone Quadriceps,quadriceps,,body only,stretching,expert
Lying Rear Delt Raise,shoulders,,dumbbell,strength,intermediate
Lying Supine Dumbbell Curl,biceps,,dumbbell,strength,beginner
Lying T-Bar Row,middle back,"biceps, lats",machine,strength,intermediate
Lying Triceps Press,triceps,,e-z curl bar,strength,intermediate
Machine Bench Press,chest,"shoulders, triceps",machine,strength,beginner
Machine Bicep Curl,biceps,,machine,strength,beginner
Machine Preacher Curls,biceps,,machine,strength,beginner
Machine Shoulder (Military) Press,shoulders,triceps,machine,strength,beginner
Machine Triceps Extension,triceps,,machine,strength,beginner
Medicine Ball Chest Pass,chest,"shoulders, triceps",medicine ball,plyometrics,beginner
Medicine Ball Full Twist,abdominals,shoulders,medicine ball,plyometrics,beginner
Medicine Ball Scoop Throw,shoulders,"abdominals, hamstrings, quadriceps",medicine ball,plyometrics,beginner
Middle Back Shrug,middle back,,dumbbell,strength,intermediate
Middle Back Stretch,middle back,"abdominals, lats, lower back",,stretching,beginner
Mixed Grip Chin,middle back,"biceps, lats",other,strength,expert
Monster Walk,abductors,,bands,strength,beginner
Mountain Climbers,quadriceps,"chest, hamstrings, shoulders",,plyometrics,beginner
Moving Claw Series,hamstrings,"calves, quadriceps",,plyometrics,beginner
Muscle Snatch,hamstrings,"glutes, lower back, quadriceps, shoulders, triceps",barbell,olympic weightlifting,intermediate
Muscle Up,lats,"abdominals, biceps, forearms, middle back, shoulders, traps, triceps",other,strength,intermediate
Narrow Stance Hack Squats,quadriceps,"calves, glutes, hamstrings",machine,strength,intermediate
Narrow Stance Leg Press,quadriceps,"calves, glutes, hamstrings",machine,strength,intermediate
Narrow Stance Squats,quadriceps,"calves, glutes, hamstrings, lower back",barbell,strength,intermediate
Natural Glute Ham Raise,hamstrings,"calves, glutes, lower back",body only,strength,intermediate
Neck-SMR,neck,,other,stretching,intermediate
Neck Press,chest,"shoulders, triceps",barbell,strength,intermediate
Oblique Crunches,abdominals,,body only,strength,beginner
Oblique Crunches - On The Floor,abdominals,,body only,strength,beginner
Olympic Squat,quadriceps,"calves, glutes, hamstrings",barbell,olympic weightlifting,intermediate
On-Your-Back Quad Stretch,quadriceps,,other,stretching,beginner
On Your Side Quad Stretch,quadriceps,,,stretching,beginner
One-Arm Dumbbell Row,middle back,"biceps, lats, shoulders",dumbbell,strength,beginner
One-Arm Flat Bench Dumbbell Flye,chest,,dumbbell,strength,beginner
One-Arm High-Pulley Cable Side Bends,abdominals,,cable,strength,beginner
One-Arm Incline Lateral Raise,shoulders,,dumbbell,strength,beginner
One-Arm Kettlebell Clean,hamstrings,"glutes, lower back, shoulders, traps",kettlebells,strength,intermediate
One-Arm Kettlebell Clean and Jerk,shoulders,,kettlebells,strength,intermediate
One-Arm Kettlebell Floor Press,chest,triceps,kettlebells,strength,intermediate
One-Arm Kettlebell Jerk,shoulders,"calves, quadriceps, triceps",kettlebells,strength,intermediate
One-Arm Kettlebell Military Press To The Side,shoulders,triceps,kettlebells,strength,intermediate
One-Arm Kettlebell Para Press,shoulders,triceps,kettlebells,strength,intermediate
One-Arm Kettlebell Push Press,shoulders,"calves, quadriceps, triceps",kettlebells,strength,intermediate
One-Arm Kettlebell Row,middle back,"biceps, lats",kettlebells,strength,intermediate
One-Arm Kettlebell Snatch,shoulders,"calves, glutes, hamstrings, lower back, traps, triceps",kettlebells,strength,expert
One-Arm Kettlebell Split Jerk,shoulders,"glutes, hamstrings, quadriceps, triceps",kettlebells,strength,intermediate
One-Arm Kettlebell Split Snatch,shoulders,"hamstrings, quadriceps",kettlebells,strength,expert
One-Arm Kettlebell Swings,hamstrings,"calves, glutes, lower back, shoulders",kettlebells,strength,intermediate
One-Arm Long Bar Row,middle back,"biceps, lats",barbell,strength,beginner
One-Arm Medicine Ball Slam,abdominals,"lats, shoulders",medicine ball,strength,beginner
One-Arm Open Palm Kettlebell Clean,hamstrings,"forearms, glutes, lower back, quadriceps, shoulders",kettlebells,strength,intermediate
One-Arm Overhead Kettlebell Squats,quadriceps,"calves, glutes, hamstrings, shoulders",kettlebells,strength,expert
One-Arm Side Deadlift,quadriceps,"abdominals, calves, glutes, hamstrings, lower back, traps",barbell,strength,expert
One-Arm Side Laterals,shoulders,,dumbbell,strength,beginner
One-Legged Cable Kickback,glutes,hamstrings,cable,strength,intermediate
One Arm Against Wall,lats,,,stretching,beginner
One Arm Chin-Up,middle back,"biceps, forearms, lats",other,strength,expert
One Arm Dumbbell Bench Press,chest,"shoulders, triceps",dumbbell,strength,beginner
One Arm Dumbbell Preacher Curl,biceps,,dumbbell,strength,beginner
One Arm Floor Press,triceps,"chest, shoulders",barbell,strength,intermediate
One Arm Lat Pulldown,lats,"biceps, middle back",cable,strength,beginner
One Arm Pronated Dumbbell Triceps Extension,triceps,,dumbbell,strength,beginner
One Arm Supinated Dumbbell Triceps Extension,triceps,,dumbbell,strength,beginner
One Half Locust,quadriceps,"abdominals, biceps, chest",,stretching,beginner
One Handed Hang,lats,biceps,other,stretching,beginner
One Knee To Chest,glutes,"hamstrings, lower back",,stretching,beginner
One Leg Barbell Squat,quadriceps,"calves, glutes, hamstrings",barbell,strength,expert
Open Palm Kettlebell Clean,hamstrings,"glutes, lower back, quadriceps, shoulders",kettlebells,strength,expert
Otis-Up,abdominals,"chest, shoulders, triceps",other,strength,beginner
Overhead Cable Curl,biceps,,cable,strength,intermediate
Overhead Lat,lats,triceps,other,stretching,expert
Overhead Slam,lats,,medicine ball,plyometrics,beginner
Overhead Squat,quadriceps,"abdominals, calves, glutes, hamstrings, lower back, shoulders, triceps",barbell,olympic weightlifting,expert
Overhead Stretch,abdominals,"chest, forearms, lats, triceps",,stretching,beginner
Overhead Triceps,triceps,lats,body only,stretching,expert
Pallof Press,abdominals,"chest, shoulders, triceps",cable,strength,beginner
Pallof Press With Rotation,abdominals,"chest, shoulders, triceps",cable,strength,beginner
Palms-Down Dumbbell Wrist Curl Over A Bench,forearms,,dumbbell,strength,beginner
Palms-Down Wrist Curl Over A Bench,forearms,,barbell,strength,beginner
Palms-Up Barbell Wrist Curl Over A Bench,forearms,,barbell,strength,beginner
Palms-Up Dumbbell Wrist Curl Over A Bench,forearms,,dumbbell,strength,beginner
Parallel Bar Dip,triceps,"chest, shoulders",other,strength,beginner
Pelvic Tilt Into Bridge,lower back,,,stretching,intermediate
Peroneals-SMR,calves,,foam roll,stretching,intermediate
Peroneals Stretch,calves,,other,stretching,intermediate
Physioball Hip Bridge,glutes,hamstrings,exercise ball,strength,beginner
Pin Presses,triceps,"chest, forearms, lats, middle back, shoulders",barbell,powerlifting,intermediate
Piriformis-SMR,glutes,,foam roll,stretching,intermediate
Plank,abdominals,,body only,strength,beginner
Plate Pinch,forearms,,other,strength,intermediate
Plate Twist,abdominals,,other,strength,intermediate
Platform Hamstring Slides,hamstrings,glutes,other,strength,beginner
Plie Dumbbell Squat,quadriceps,"abdominals, calves, glutes, hamstrings",dumbbell,strength,beginner
Plyo Kettlebell Pushups,chest,"shoulders, triceps",kettlebells,strength,expert
Plyo Push-up,chest,"shoulders, triceps",body only,plyometrics,beginner
Posterior Tibialis Stretch,calves,,other,stretching,intermediate
Power Clean,hamstrings,"calves, forearms, glutes, lower back, middle back, quadriceps, shoulders, traps, triceps",barbell,strength,intermediate
Power Clean from Blocks,hamstrings,quadriceps,barbell,olympic weightlifting,intermediate
Power Jerk,quadriceps,"abdominals, calves, glutes, hamstrings, shoulders, triceps",barbell,olympic weightlifting,expert
Power Partials,shoulders,,dumbbell,strength,beginner
Power Snatch,hamstrings,"calves, glutes, lower back, quadriceps, shoulders, traps, triceps",barbell,olympic weightlifting,expert
Power Snatch from Blocks,quadriceps,"calves, forearms, glutes, hamstrings, lower back, shoulders, traps, triceps",barbell,olympic weightlifting,intermediate
Power Stairs,hamstrings,"adductors, calves, glutes, lower back, quadriceps, shoulders, traps",other,strongman,intermediate
Preacher Curl,biceps,,barbell,strength,beginner
Preacher Hammer Dumbbell Curl,biceps,forearms,dumbbell,strength,beginner
Press Sit-Up,abdominals,"chest, shoulders, triceps",barbell,strength,expert
Prone Manual Hamstring,hamstrings,,,strength,beginner
Prowler Sprint,hamstrings,"calves, chest, glutes, quadriceps, shoulders",other,cardio,beginner
Pull Through,glutes,"hamstrings, lower back",cable,strength,beginner
Pullups,lats,"biceps, middle back",body only,strength,beginner
Push-Up Wide,chest,"abdominals, shoulders, triceps",body only,strength,beginner
Push-Ups - Close Triceps Position,triceps,"chest, shoulders",body only,strength,intermediate
Push-Ups With Feet Elevated,chest,"shoulders, triceps",body only,strength,beginner
Push-Ups With Feet On An Exercise Ball,chest,"shoulders, triceps",exercise ball,strength,intermediate
Push Press,shoulders,"quadriceps, triceps",barbell,olympic weightlifting,expert
Push Press - Behind the Neck,shoulders,"calves, quadriceps, triceps",barbell,olympic weightlifting,intermediate
Push Up to Side Plank,chest,"abdominals, shoulders, triceps",body only,strength,beginner
Pushups,chest,"shoulders, triceps",body only,strength,beginner
Pushups (Close and Wide Hand Positions),chest,"shoulders, triceps",body only,strength,beginner
Pyramid,lower back,shoulders,exercise ball,stretching,beginner
Quad Stretch,quadriceps,,other,stretching,intermediate
Quadriceps-SMR,quadriceps,,foam roll,stretching,intermediate
Quick Leap,quadriceps,"calves, hamstrings",other,plyometrics,beginner
Rack Delivery,shoulders,"forearms, traps",barbell,olympic weightlifting,intermediate
Rack Pull with Bands,lower back,"forearms, glutes, hamstrings, quadriceps, traps",barbell,powerlifting,intermediate
Rack Pulls,lower back,"forearms, glutes, hamstrings, traps",barbell,powerlifting,intermediate
Rear Leg Raises,quadriceps,,body only,stretching,beginner
Recumbent Bike,quadriceps,"calves, glutes, hamstrings",machine,cardio,beginner
Return Push from Stance,shoulders,"chest, triceps",medicine ball,plyometrics,beginner
Reverse Band Bench Press,triceps,"chest, forearms, lats, middle back, shoulders",barbell,powerlifting,intermediate
Reverse Band Box Squat,quadriceps,"abductors, adductors, calves, forearms, glutes, hamstrings, lower back",barbell,powerlifting,intermediate
Reverse Band Deadlift,lower back,"abductors, adductors, calves, glutes, hamstrings, quadriceps",barbell,powerlifting,expert
Reverse Band Power Squat,quadriceps,"adductors, calves, glutes, hamstrings, lower back",barbell,powerlifting,expert
Reverse Band Sumo Deadlift,hamstrings,"abductors, adductors, calves, forearms, glutes, lower back, quadriceps, traps",barbell,powerlifting,expert
Reverse Barbell Curl,biceps,forearms,barbell,strength,beginner
Reverse Barbell Preacher Curls,biceps,forearms,e-z curl bar,strength,intermediate
Reverse Cable Curl,biceps,forearms,cable,strength,beginner
Reverse Crunch,abdominals,,body only,strength,beginner
Reverse Flyes,shoulders,,dumbbell,strength,beginner
Reverse Flyes With External Rotation,shoulders,,dumbbell,strength,intermediate
Reverse Grip Bent-Over Rows,middle back,"biceps, lats, shoulders",barbell,strength,intermediate
Reverse Grip Triceps Pushdown,triceps,,cable,strength,beginner
Reverse Hyperextension,hamstrings,"calves, glutes",machine,strength,intermediate
Reverse Machine Flyes,shoulders,,machine,strength,beginner
Reverse Plate Curls,biceps,forearms,other,strength,beginner
Reverse Triceps Bench Press,triceps,"chest, shoulders",barbell,strength,intermediate
Rhomboids-SMR,middle back,traps,foam roll,stretching,intermediate
Rickshaw Carry,forearms,"abdominals, calves, glutes, hamstrings, lower back, quadriceps, traps",other,strongman,intermediate
Rickshaw Deadlift,quadriceps,"forearms, glutes, hamstrings, lower back, traps",other,strongman,intermediate
Ring Dips,triceps,"chest, shoulders",other,strength,intermediate
Rocket Jump,quadriceps,"calves, hamstrings",body only,plyometrics,beginner
Rocking Standing Calf Raise,calves,,barbell,strength,beginner
Rocky Pull-Ups/Pulldowns,lats,"biceps, middle back, shoulders",other,strength,intermediate
Romanian Deadlift,hamstrings,"calves, glutes, lower back",barbell,strength,intermediate
Romanian Deadlift from Deficit,hamstrings,"forearms, glutes, lower back, traps",barbell,olympic weightlifting,intermediate
Rope Climb,lats,"biceps, forearms, middle back, shoulders",other,strength,intermediate
Rope Crunch,abdominals,,cable,strength,beginner
Rope Jumping,quadriceps,"calves, hamstrings",other,cardio,intermediate
Rope Straight-Arm Pulldown,lats,,cable,strength,beginner
Round The World Shoulder Stretch,shoulders,"biceps, chest",other,stretching,beginner
"Rowing, Stationary",quadriceps,"biceps, calves, glutes, hamstrings, lower back, middle back",machine,cardio,intermediate
Runner's Stretch,hamstrings,calves,,stretching,beginner
"Running, Treadmill",quadriceps,"calves, glutes, hamstrings",machine,cardio,beginner
Russian Twist,abdominals,lower back,body only,strength,intermediate
Sandbag Load,quadriceps,"abdominals, biceps, calves, forearms, glutes, hamstrings, lower back, middle back, shoulders, traps",other,strongman,beginner
Scapular Pull-Up,traps,"lats, middle back",,strength,beginner
Scissor Kick,abdominals,,body only,stretching,beginner
Scissors Jump,quadriceps,"glutes, hamstrings",body only,plyometrics,beginner
Seated Band Hamstring Curl,hamstrings,,other,strength,beginner
Seated Barbell Military Press,shoulders,triceps,barbell,strength,intermediate
Seated Barbell Twist,abdominals,,barbell,strength,beginner
Seated Bent-Over One-Arm Dumbbell Triceps Extension,triceps,,dumbbell,strength,beginner
Seated Bent-Over Rear Delt Raise,shoulders,,dumbbell,strength,intermediate
Seated Bent-Over Two-Arm Dumbbell Triceps Extension,triceps,,dumbbell,strength,intermediate
Seated Biceps,biceps,"chest, shoulders",body only,stretching,expert
Seated Cable Rows,middle back,"biceps, lats, shoulders",cable,strength,beginner
Seated Cable Shoulder Press,shoulders,triceps,cable,strength,beginner
Seated Calf Raise,calves,,machine,strength,beginner
Seated Calf Stretch,calves,"hamstrings, lower back",,stretching,beginner
Seated Close-Grip Concentration Barbell Curl,biceps,,barbell,strength,intermediate
Seated Dumbbell Curl,biceps,,dumbbell,strength,beginner
Seated Dumbbell Inner Biceps Curl,biceps,,dumbbell,strength,beginner
Seated Dumbbell Palms-Down Wrist Curl,forearms,,dumbbell,strength,beginner
Seated Dumbbell Palms-Up Wrist Curl,forearms,,dumbbell,strength,beginner
Seated Dumbbell Press,shoulders,triceps,dumbbell,strength,beginner
Seated Flat Bench Leg Pull-In,abdominals,,body only,strength,beginner
Seated Floor Hamstring Stretch,hamstrings,calves,,stretching,beginner
Seated Front Deltoid,shoulders,chest,body only,stretching,expert
Seated Glute,glutes,adductors,body only,stretching,expert
Seated Good Mornings,lower back,glutes,barbell,powerlifting,intermediate
Seated Hamstring,hamstrings,calves,,stretching,expert
Seated Hamstring and Calf Stretch,hamstrings,calves,other,stretching,intermediate
Seated Head Harness Neck Resistance,neck,,other,strength,intermediate
Seated Leg Curl,hamstrings,,machine,strength,beginner
Seated Leg Tucks,abdominals,,body only,strength,beginner
Seated One-Arm Dumbbell Palms-Down Wrist Curl,forearms,,dumbbell,strength,intermediate
Seated One-Arm Dumbbell Palms-Up Wrist Curl,forearms,,dumbbell,strength,beginner
Seated One-arm Cable Pulley Rows,middle back,"biceps, lats, traps",cable,strength,intermediate
Seated Overhead Stretch,abdominals,,,stretching,beginner
Seated Palm-Up Barbell Wrist Curl,forearms,,barbell,strength,beginner
Seated Palms-Down Barbell Wrist Curl,forearms,,barbell,strength,beginner
Seated Side Lateral Raise,shoulders,,dumbbell,strength,beginner
Seated Triceps Press,triceps,,dumbbell,strength,beginner
Seated Two-Arm Palms-Up Low-Pulley Wrist Curl,forearms,,cable,strength,beginner
See-Saw Press (Alternating Side Press),shoulders,"abdominals, triceps",dumbbell,strength,intermediate
Shotgun Row,lats,"biceps, middle back",cable,strength,beginner
Shoulder Circles,shoulders,traps,,stretching,beginner
Shoulder Press - With Bands,shoulders,triceps,bands,strength,beginner
Shoulder Raise,shoulders,lats,,stretching,beginner
Shoulder Stretch,shoulders,,,stretching,beginner
Side-Lying Floor Stretch,lats,,,stretching,beginner
Side Bridge,abdominals,shoulders,body only,strength,beginner
Side Hop-Sprint,quadriceps,"abductors, adductors, calves, hamstrings",other,plyometrics,beginner
Side Jackknife,abdominals,,body only,strength,beginner
Side Lateral Raise,shoulders,,dumbbell,strength,beginner
Side Laterals to Front Raise,shoulders,traps,dumbbell,strength,beginner
Side Leg Raises,adductors,,body only,stretching,beginner
Side Lying Groin Stretch,adductors,hamstrings,,stretching,beginner
Side Neck Stretch,neck,,,stretching,beginner
Side Standing Long Jump,quadriceps,"calves, glutes, hamstrings",,plyometrics,beginner
Side To Side Chins,lats,"biceps, forearms, middle back, shoulders",other,strength,intermediate
Side Wrist Pull,shoulders,"forearms, lats",,stretching,beginner
Side to Side Box Shuffle,quadriceps,"abductors, adductors, calves, hamstrings",other,plyometrics,beginner
Single-Arm Cable Crossover,chest,,cable,strength,beginner
Single-Arm Linear Jammer,shoulders,"chest, triceps",barbell,strength,intermediate
Single-Arm Push-Up,chest,"shoulders, triceps",body only,strength,intermediate
Single-Cone Sprint Drill,quadriceps,"calves, glutes, hamstrings",other,plyometrics,beginner
Single-Leg High Box Squat,quadriceps,"glutes, hamstrings",other,strength,beginner
Single-Leg Hop Progression,quadriceps,"abductors, adductors, calves, hamstrings",other,plyometrics,beginner
Single-Leg Lateral Hop,quadriceps,"abductors, adductors, calves, hamstrings",other,plyometrics,beginner
Single-Leg Leg Extension,quadriceps,,machine,strength,beginner
Single-Leg Stride Jump,quadriceps,"abductors, adductors, calves, hamstrings",other,plyometrics,beginner
Single Dumbbell Raise,shoulders,"forearms, traps",dumbbell,strength,beginner
Single Leg Butt Kick,quadriceps,"calves, hamstrings",body only,plyometrics,beginner
Single Leg Glute Bridge,glutes,hamstrings,body only,strength,beginner
Single Leg Push-off,quadriceps,"calves, hamstrings",other,plyometrics,beginner
Sit-Up,abdominals,,body only,strength,beginner
Sit Squats,quadriceps,"abductors, glutes, hamstrings",,stretching,beginner
Skating,quadriceps,"abductors, adductors, calves, glutes, hamstrings",other,cardio,intermediate
Sled Drag - Harness,quadriceps,"calves, glutes, hamstrings",other,strongman,beginner
Sled Overhead Backward Walk,shoulders,"calves, middle back, quadriceps",other,strength,beginner
Sled Overhead Triceps Extension,triceps,,other,strength,beginner
Sled Push,quadriceps,"calves, chest, glutes, hamstrings, triceps",other,strongman,beginner
Sled Reverse Flye,shoulders,,other,strength,beginner
Sled Row,middle back,"biceps, lats",other,strength,beginner
Sledgehammer Swings,abdominals,"calves, forearms, lats, middle back, shoulders",other,plyometrics,beginner
Smith Incline Shoulder Raise,shoulders,chest,barbell,strength,beginner
Smith Machine Behind the Back Shrug,traps,shoulders,machine,strength,beginner
Smith Machine Bench Press,chest,"shoulders, triceps",machine,strength,beginner
Smith Machine Bent Over Row,middle back,"biceps, lats, shoulders",machine,strength,beginner
Smith Machine Calf Raise,calves,,machine,strength,beginner
Smith Machine Close-Grip Bench Press,triceps,"chest, shoulders",machine,strength,beginner
Smith Machine Decline Press,chest,"shoulders, triceps",machine,strength,beginner
Smith Machine Hang Power Clean,hamstrings,"glutes, lower back, quadriceps, shoulders, traps",machine,strength,intermediate
Smith Machine Hip Raise,abdominals,,machine,strength,beginner
Smith Machine Incline Bench Press,chest,"shoulders, triceps",machine,strength,beginner
Smith Machine Leg Press,quadriceps,"calves, glutes, hamstrings",machine,strength,intermediate
Smith Machine One-Arm Upright Row,shoulders,"biceps, traps",machine,strength,beginner
Smith Machine Overhead Shoulder Press,shoulders,triceps,machine,strength,beginner
Smith Machine Pistol Squat,quadriceps,"calves, glutes, hamstrings",machine,strength,intermediate
Smith Machine Reverse Calf Raises,calves,,machine,strength,beginner
Smith Machine Squat,quadriceps,"calves, glutes, hamstrings, lower back",machine,strength,beginner
Smith Machine Stiff-Legged Deadlift,hamstrings,"glutes, lower back",machine,strength,beginner
Smith Machine Upright Row,traps,"biceps, middle back, shoulders",machine,strength,beginner
Smith Single-Leg Split Squat,quadriceps,"calves, glutes, hamstrings",machine,strength,beginner
Snatch,quadriceps,"biceps, glutes, hamstrings, lower back, shoulders, traps, triceps",barbell,olympic weightlifting,intermediate
Snatch Balance,quadriceps,"calves, glutes, hamstrings, shoulders, triceps",barbell,olympic weightlifting,intermediate
Snatch Deadlift,hamstrings,"forearms, glutes, hamstrings, lower back, quadriceps, traps",barbell,olympic weightlifting,intermediate
Snatch Pull,hamstrings,"calves, glutes, lower back, quadriceps, traps",barbell,strength,intermediate
Snatch Shrug,traps,"forearms, shoulders",barbell,olympic weightlifting,intermediate
Snatch from Blocks,quadriceps,"calves, forearms, glutes, hamstrings, lower back, shoulders, traps, triceps",barbell,olympic weightlifting,expert
Speed Band Overhead Triceps,triceps,,bands,strength,beginner
Speed Box Squat,quadriceps,"calves, glutes, hamstrings",barbell,powerlifting,intermediate
Speed Squats,quadriceps,"calves, glutes, hamstrings, lower back",barbell,strength,expert
Spell Caster,abdominals,"glutes, shoulders",dumbbell,strength,beginner
Spider Crawl,abdominals,"chest, shoulders, triceps",body only,strength,beginner
Spider Curl,biceps,,e-z curl bar,strength,beginner
Spinal Stretch,middle back,"lats, lower back, neck, traps",,stretching,beginner
Split Clean,quadriceps,"calves, forearms, glutes, hamstrings, lower back, shoulders, traps",barbell,olympic weightlifting,intermediate
Split Jerk,quadriceps,"glutes, hamstrings, shoulders, triceps",barbell,olympic weightlifting,intermediate
Split Jump,quadriceps,"calves, glutes, hamstrings",body only,plyometrics,beginner
Split Snatch,hamstrings,"calves, forearms, glutes, hamstrings, lower back, quadriceps, shoulders, traps, triceps",barbell,olympic weightlifting,expert
Split Squat with Dumbbells,quadriceps,"glutes, hamstrings",dumbbell,strength,beginner
Split Squats,hamstrings,"calves, glutes, quadriceps",,stretching,intermediate
Squat Jerk,quadriceps,"calves, glutes, hamstrings, shoulders, triceps",barbell,strength,expert
Squat with Bands,quadriceps,"adductors, calves, glutes, hamstrings, lower back",barbell,powerlifting,intermediate
Squat with Chains,quadriceps,"adductors, calves, glutes, hamstrings, lower back",barbell,powerlifting,intermediate
Squat with Plate Movers,quadriceps,"abductors, adductors, calves, glutes, hamstrings",barbell,strength,intermediate
